timestamp,Live Zone1,Live Zone2,Live Zone3,Live Zone4,Total Count
0,0,0,0,0,13
0,2,3,2,6,13
0,2,3,2,6,14
0,2,3,3,6,14
0,2,3,3,6,14
0,2,3,3,6,14
0,2,3,3,6,14
0,2,3,3,6,14
0,2,3,3,6,14
0,2,3,3,6,15
0,2,3,3,7,15
0,2,3,3,7,15
0,2,3,3,7,15
0,2,3,3,7,15
0,1,3,3,7,15
0,1,3,3,7,15
0,1,3,3,7,15
0,1,3,3,7,15
0,1,3,3,7,15
0,1,3,3,7,15
0,1,3,3,7,15
0,1,3,3,7,15
0,1,3,3,7,16
0,1,4,3,7,16
0,1,4,3,7,16
0,1,2,3,7,16
0,1,3,3,7,16
0,1,3,3,7,16
0,1,3,3,7,18
1,1,5,3,7,18
1,1,5,3,7,18
1,1,5,3,7,18
1,1,5,3,7,18
1,1,5,3,7,18
1,1,5,3,7,18
1,0,5,3,7,18
1,0,5,3,7,18
1,1,5,3,7,18
1,1,5,3,7,18
1,1,5,3,7,18
1,1,5,3,7,19
1,2,5,3,7,19
1,2,5,3,7,19
1,2,5,3,7,19
1,1,5,3,7,20
1,1,6,3,7,20
1,1,6,3,7,21
1,2,6,3,7,21
1,2,6,3,7,21
1,2,6,3,7,21
1,2,6,3,7,21
1,2,6,3,7,21
1,2,6,3,7,21
1,2,6,3,7,21
1,2,6,3,7,21
1,2,5,3,7,21
1,2,5,3,7,21
1,2,5,3,7,21
1,2,4,3,7,21
2,2,4,3,7,22
2,3,4,3,7,22
2,3,4,3,7,22
2,3,4,3,7,22
2,3,4,3,7,22
2,3,4,3,7,23
2,3,5,3,7,23
2,3,5,3,7,23
2,3,5,3,7,23
2,3,5,3,7,23
2,3,5,3,7,23
2,3,5,3,7,23
2,3,5,3,7,23
2,3,5,3,7,23
2,3,5,3,7,23
2,3,5,3,6,23
2,3,5,3,6,23
2,3,5,3,6,23
2,2,5,3,6,23
2,2,5,3,6,23
2,2,4,3,6,23
2,2,4,3,6,23
2,2,4,3,6,23
2,2,5,3,6,24
2,3,5,3,6,24
2,3,5,3,6,24
2,3,5,3,6,24
2,2,5,3,6,24
2,2,5,3,6,24
2,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,6,24
3,2,5,3,7,24
3,2,5,3,7,24
3,2,5,3,7,24
3,2,5,3,7,24
3,2,5,3,7,24
3,2,5,3,7,24
3,2,5,3,7,24
3,2,5,3,7,24
3,2,5,3,7,25
3,3,5,3,7,25
3,3,5,3,7,25
3,3,5,3,7,25
3,3,5,3,7,26
3,4,5,3,7,26
3,4,5,3,7,26
3,4,5,3,7,26
3,4,5,3,7,26
3,4,5,3,7,26
3,4,5,3,7,26
3,4,5,3,7,27
4,4,6,3,7,27
4,4,6,3,7,27
4,4,6,3,7,27
4,4,6,3,7,27
4,4,6,3,7,27
4,4,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,27
4,3,5,3,7,28
4,4,5,3,7,28
4,4,5,3,7,28
4,4,5,3,7,28
4,4,5,3,7,28
4,4,5,3,7,28
